PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37965960","Artificial intelligence for detecting keratoconus","Vandevenne MM, Favuzza E, Veta M, Lucenteforte E, Berendschot TT, Mencucci R, Nuijts RM, Virgili G, Dickman MM.","Cochrane Database Syst Rev. 2023 Nov 15;11(11):CD014911. doi: 10.1002/14651858.CD014911.pub2.","Vandevenne MM","Cochrane Database Syst Rev","2023","2023/11/15","PMC10646985","","10.1002/14651858.CD014911.pub2"
"40662528","Artificial intelligence in cardiovascular pharmacotherapy: applications and perspectives","Costa F, Gomez Doblas JJ, Díaz Expósito A, Adamo M, D'Ascenzo F, Kołtowski L, Saba L, Mendieta G, Gragnano F, Calabrò P, Badimon L, Ibañez B, Mehran R, Angiolillo DJ, Lüscher T, Capodanno D.","Eur Heart J. 2025 Oct 1;46(37):3616-3627. doi: 10.1093/eurheartj/ehaf474.","Costa F","Eur Heart J","2025","2025/07/15","PMC12488325","","10.1093/eurheartj/ehaf474"
"34734847","Autonomous Systems and Artificial Intelligence - Hype or Prerequisite for P5 Medicine?","Blobel B, Ruotsalainen P, Brochhausen M.","Stud Health Technol Inform. 2021 Oct 27;285:3-14. doi: 10.3233/SHTI210567.","Blobel B","Stud Health Technol Inform","2021","2021/11/04","","","10.3233/SHTI210567"
"32770165","Digital technologies in the public-health response to COVID-19","Budd J, Miller BS, Manning EM, Lampos V, Zhuang M, Edelstein M, Rees G, Emery VC, Stevens MM, Keegan N, Short MJ, Pillay D, Manley E, Cox IJ, Heymann D, Johnson AM, McKendry RA.","Nat Med. 2020 Aug;26(8):1183-1192. doi: 10.1038/s41591-020-1011-4. Epub 2020 Aug 7.","Budd J","Nat Med","2020","2020/08/10","","","10.1038/s41591-020-1011-4"
"27534393","25th Annual Computational Neuroscience Meeting: CNS-2016","Sharpee TO, Destexhe A, Kawato M, Sekulić V, Skinner FK, Wójcik DK, Chintaluri C, Cserpán D, Somogyvári Z, Kim JK, Kilpatrick ZP, Bennett MR, Josić K, Elices I, Arroyo D, Levi R, Rodriguez FB, Varona P, Hwang E, Kim B, Han HB, Kim T, McKenna JT, Brown RE, McCarley RW, Choi JH, Rankin J, Popp PO, Rinzel J, Tabas A, Rupp A, Balaguer-Ballester E, Maturana MI, Grayden DB, Cloherty SL, Kameneva T, Ibbotson MR, Meffin H, Koren V, Lochmann T, Dragoi V, Obermayer K, Psarrou M, Schilstra M, Davey N, Torben-Nielsen B, Steuber V, Ju H, Yu J, Hines ML, Chen L, Yu Y, Kim J, Leahy W, Shlizerman E, Birgiolas J, Gerkin RC, Crook SM, Viriyopase A, Memmesheimer RM, Gielen S, Dabaghian Y, DeVito J, Perotti L, Kim AJ, Fenk LM, Cheng C, Maimon G, Zhao C, Widmer Y, Sprecher S, Senn W, Halnes G, Mäki-Marttunen T, Keller D, Pettersen KH, Andreassen OA, Einevoll GT, Yamada Y, Steyn-Ross ML, Alistair Steyn-Ross D, Mejias JF, Murray JD, Kennedy H, Wang XJ, Kruscha A, Grewe J, Benda J, Lindner B, Badel L, Ohta K, Tsuchimoto Y, Kazama H, Kahng B, Tam ND, Pollonini L, Zouridakis G, Soh J, Kim D, Yoo M, et al.","BMC Neurosci. 2016 Aug 18;17 Suppl 1(Suppl 1):54. doi: 10.1186/s12868-016-0283-6.","Sharpee TO","BMC Neurosci","2016","2016/08/19","PMC5001212","","10.1186/s12868-016-0283-6"
"33763636","Ethical machines: The human-centric use of artificial intelligence","Lepri B, Oliver N, Pentland A.","iScience. 2021 Mar 3;24(3):102249. doi: 10.1016/j.isci.2021.102249. eCollection 2021 Mar 19.","Lepri B","iScience","2021","2021/03/25","PMC7973859","","10.1016/j.isci.2021.102249"
"37218054","The Quality and Utility of Artificial Intelligence in Patient Care","Wehkamp K, Krawczak M, Schreiber S.","Dtsch Arztebl Int. 2023 Jul 10;120(27-28):463-469. doi: 10.3238/arztebl.m2023.0124.","Wehkamp K","Dtsch Arztebl Int","2023","2023/05/23","PMC10487679","","10.3238/arztebl.m2023.0124"
"35212918","Commercial Use of Emotion Artificial Intelligence (AI): Implications for Psychiatry","Monteith S, Glenn T, Geddes J, Whybrow PC, Bauer M.","Curr Psychiatry Rep. 2022 Mar;24(3):203-211. doi: 10.1007/s11920-022-01330-7. Epub 2022 Feb 25.","Monteith S","Curr Psychiatry Rep","2022","2022/02/25","","","10.1007/s11920-022-01330-7"
"39951716","Artificial Intelligence in Lymphoma Histopathology: Systematic Review","Fu Y, Huang Z, Deng X, Xu L, Liu Y, Zhang M, Liu J, Huang B.","J Med Internet Res. 2025 Feb 14;27:e62851. doi: 10.2196/62851.","Fu Y","J Med Internet Res","2025","2025/02/14","PMC11888075","","10.2196/62851"
"34564294","Systematizing Audit in Algorithmic Recruitment","Kazim E, Koshiyama AS, Hilliard A, Polle R.","J Intell. 2021 Sep 17;9(3):46. doi: 10.3390/jintelligence9030046.","Kazim E","J Intell","2021","2021/09/26","PMC8482073","","10.3390/jintelligence9030046"
"33473211","Monitoring hiring discrimination through online recruitment platforms","Hangartner D, Kopp D, Siegenthaler M.","Nature. 2021 Jan;589(7843):572-576. doi: 10.1038/s41586-020-03136-0. Epub 2021 Jan 20.","Hangartner D","Nature","2021","2021/01/21","","","10.1038/s41586-020-03136-0"
"37444068","Occupational Safety and Health Equity Impacts of Artificial Intelligence: A Scoping Review","Fisher E, Flynn MA, Pratap P, Vietas JA.","Int J Environ Res Public Health. 2023 Jun 24;20(13):6221. doi: 10.3390/ijerph20136221.","Fisher E","Int J Environ Res Public Health","2023","2023/07/14","PMC10340692","","10.3390/ijerph20136221"
"39259922","Artificial intelligence for optimizing recruitment and retention in clinical trials: a scoping review","Lu X, Yang C, Liang L, Hu G, Zhong Z, Jiang Z.","J Am Med Inform Assoc. 2024 Nov 1;31(11):2749-2759. doi: 10.1093/jamia/ocae243.","Lu X","J Am Med Inform Assoc","2024","2024/09/11","PMC11491624","","10.1093/jamia/ocae243"
"39996136","Artificial intelligence to revolutionize IBD clinical trials: a comprehensive review","Sedano R, Solitano V, Vuyyuru SK, Yuan Y, Hanžel J, Ma C, Nardone OM, Jairath V.","Therap Adv Gastroenterol. 2025 Feb 23;18:17562848251321915. doi: 10.1177/17562848251321915. eCollection 2025.","Sedano R","Therap Adv Gastroenterol","2025","2025/02/25","PMC11848901","","10.1177/17562848251321915"
"40771284","Artificial Intelligence and Nursing Management: Opportunities, Challenges, and Ethical Considerations-A Scoping Review","Katebi M, Bahreini M, Bagherzadeh R, Pouladi S.","J Nurs Manag. 2025 Jul 30;2025:2797535. doi: 10.1155/jonm/2797535. eCollection 2025.","Katebi M","J Nurs Manag","2025","2025/08/07","PMC12328055","","10.1155/jonm/2797535"
"38839555","Artificial Intelligence in Otolaryngology: Topics in Epistemology & Ethics","Tai K, Zhao R, Rameau A.","Otolaryngol Clin North Am. 2024 Oct;57(5):863-870. doi: 10.1016/j.otc.2024.04.008. Epub 2024 Jun 4.","Tai K","Otolaryngol Clin North Am","2024","2024/06/05","PMC11374503","NIHMS1989720","10.1016/j.otc.2024.04.008"
"37906223","Data Quality in Health Research: Integrative Literature Review","Bernardi FA, Alves D, Crepaldi N, Yamada DB, Lima VC, Rijo R.","J Med Internet Res. 2023 Oct 31;25:e41446. doi: 10.2196/41446.","Bernardi FA","J Med Internet Res","2023","2023/10/31","PMC10646672","","10.2196/41446"
"39783807","Improving Psychiatry Services with Artificial Intelligence: Opportunities and Challenges","Balli M, Doğan AE, Eser HY.","Turk Psikiyatri Derg. 2024;35(4):317-328. doi: 10.5080/u27604.","Balli M","Turk Psikiyatri Derg","2024","2025/01/09","PMC11681275","","10.5080/u27604"
"38985917","Artificial Intelligence for Patient Flow: Emerging Health Technologies","","Ottawa (ON): Canadian Agency for Drugs and Technologies in Health; 2024 Apr. Report No.: EH0125.","","Artificial Intelligence for Patient Flow: Emerging Health Technologies","2024","2024/04/01","","",""
"31591033","Artificial Intelligence in Radiotherapy: A Philosophical Perspective","Bridge P, Bridge R.","J Med Imaging Radiat Sci. 2019 Dec;50(4 Suppl 2):S27-S31. doi: 10.1016/j.jmir.2019.09.003. Epub 2019 Oct 4.","Bridge P","J Med Imaging Radiat Sci","2019","2019/10/09","","","10.1016/j.jmir.2019.09.003"
"36128686","Algorithms and the future of work","Howard J.","Am J Ind Med. 2022 Dec;65(12):943-952. doi: 10.1002/ajim.23429. Epub 2022 Sep 20.","Howard J","Am J Ind Med","2022","2022/09/21","","","10.1002/ajim.23429"
"37953865","The role of artificial intelligence in hastening time to recruitment in clinical trials","Ismail A, Al-Zoubi T, El Naqa I, Saeed H.","BJR Open. 2023 May 16;5(1):20220023. doi: 10.1259/bjro.20220023. eCollection 2023.","Ismail A","BJR Open","2023","2023/11/13","PMC10636341","","10.1259/bjro.20220023"
"38545375","Editorial: Artificial intelligence and the future of work: humans in control","Ernst E, Berg J, Moore PV.","Front Artif Intell. 2024 Mar 13;7:1378893. doi: 10.3389/frai.2024.1378893. eCollection 2024.","Ernst E","Front Artif Intell","2024","2024/03/28","PMC10966127","","10.3389/frai.2024.1378893"
"37954711","The Impact of Artificial Intelligence on Optimizing Diagnosis and Treatment Plans for Rare Genetic Disorders","Abdallah S, Sharifa M, I Kh Almadhoun MK, Khawar MM Sr, Shaikh U, Balabel KM, Saleh I, Manzoor A, Mandal AK, Ekomwereren O, Khine WM, Oyelaja OT.","Cureus. 2023 Oct 11;15(10):e46860. doi: 10.7759/cureus.46860. eCollection 2023 Oct.","Abdallah S","Cureus","2023","2023/11/13","PMC10636514","","10.7759/cureus.46860"
"37091458","AI-based radiodiagnosis using chest X-rays: A review","Akhter Y, Singh R, Vatsa M.","Front Big Data. 2023 Apr 6;6:1120989. doi: 10.3389/fdata.2023.1120989. eCollection 2023.","Akhter Y","Front Big Data","2023","2023/04/24","PMC10116151","","10.3389/fdata.2023.1120989"
"35830764","The power to harm: AI assistants pave the way to unethical behavior","Gratch J, Fast NJ.","Curr Opin Psychol. 2022 Oct;47:101382. doi: 10.1016/j.copsyc.2022.101382. Epub 2022 Jun 11.","Gratch J","Curr Opin Psychol","2022","2022/07/13","","","10.1016/j.copsyc.2022.101382"
"37146391","Feasibility and effectiveness of artificial intelligence-driven conversational agents in healthcare interventions: A systematic review of randomized controlled trials","Li Y, Liang S, Zhu B, Liu X, Li J, Chen D, Qin J, Bressington D.","Int J Nurs Stud. 2023 Jul;143:104494. doi: 10.1016/j.ijnurstu.2023.104494. Epub 2023 Apr 5.","Li Y","Int J Nurs Stud","2023","2023/05/05","","","10.1016/j.ijnurstu.2023.104494"
"35857214","Bias in algorithms of AI systems developed for COVID-19: A scoping review","Delgado J, de Manuel A, Parra I, Moyano C, Rueda J, Guersenzvaig A, Ausin T, Cruz M, Casacuberta D, Puyol A.","J Bioeth Inq. 2022 Sep;19(3):407-419. doi: 10.1007/s11673-022-10200-z. Epub 2022 Jul 20.","Delgado J","J Bioeth Inq","2022","2022/07/20","PMC9463236","","10.1007/s11673-022-10200-z"
"28674148","Associations between interarm differences in blood pressure and cardiovascular disease outcomes: protocol for an individual patient data meta-analysis and development of a prognostic algorithm","Clark CE, Boddy K, Warren FC, Taylor RS, Aboyans V, Cloutier L, McManus RJ, Shore AC, Campbell JL.","BMJ Open. 2017 Jul 2;7(6):e016844. doi: 10.1136/bmjopen-2017-016844.","Clark CE","BMJ Open","2017","2017/07/05","PMC5734572","","10.1136/bmjopen-2017-016844"
"39093806","Generative artificial intelligence and the personalization of health professional education: A narrative review","Almansour M, Alfhaid FM.","Medicine (Baltimore). 2024 Aug 2;103(31):e38955. doi: 10.1097/MD.0000000000038955.","Almansour M","Medicine (Baltimore)","2024","2024/08/02","PMC11296413","","10.1097/MD.0000000000038955"
"37653025","Artificial intelligence in ovarian cancer histopathology: a systematic review","Breen J, Allen K, Zucker K, Adusumilli P, Scarsbrook A, Hall G, Orsi NM, Ravikumar N.","NPJ Precis Oncol. 2023 Aug 31;7(1):83. doi: 10.1038/s41698-023-00432-6.","Breen J","NPJ Precis Oncol","2023","2023/08/31","PMC10471607","","10.1038/s41698-023-00432-6"
"39657649","Artificial Intelligence in Medicine: Are We Ready?","Nagler M.","Hamostaseologie. 2024 Dec;44(6):422-424. doi: 10.1055/a-2443-4130. Epub 2024 Dec 10.","Nagler M","Hamostaseologie","2024","2024/12/10","","","10.1055/a-2443-4130"
"35125568","The Ethics of Blockchain in Organizations","Sharif MM, Ghodoosi F.","J Bus Ethics. 2022;178(4):1009-1025. doi: 10.1007/s10551-022-05058-5. Epub 2022 Feb 2.","Sharif MM","J Bus Ethics","2022","2022/02/07","PMC8808270","","10.1007/s10551-022-05058-5"
"31517386","A spatial open-population capture-recapture model","Efford MG, Schofield MR.","Biometrics. 2020 Jun;76(2):392-402. doi: 10.1111/biom.13150. Epub 2019 Nov 20.","Efford MG","Biometrics","2020","2019/09/14","","","10.1111/biom.13150"
"37470136","New and emerging technology for adult social care - the example of home sensors with artificial intelligence (AI) technology","Glasby J, Litchfield I, Parkinson S, Hocking L, Tanner D, Roe B, Bousfield J.","Health Soc Care Deliv Res. 2023 Jun;11(9):1-64. doi: 10.3310/HRYW4281.","Glasby J","Health Soc Care Deliv Res","2023","2023/07/20","","","10.3310/HRYW4281"
"39424394","Evaluation of an electronic clinical decision support algorithm to improve primary care management of acute febrile illness in rural Cambodia: protocol for a cluster-randomised trial","Chew R, Wynberg E, Liverani M, Rekol H, Nguon C, Dysoley L, Vanna M, Callery JJ, Mishra A, Adhikari B, Tripura R, Chandna A, Fegan G, Waithira N, Maude RJ, Day NPJ, Peto TJ, Lubell Y.","BMJ Open. 2024 Oct 18;14(10):e089616. doi: 10.1136/bmjopen-2024-089616.","Chew R","BMJ Open","2024","2024/10/18","PMC11492946","","10.1136/bmjopen-2024-089616"
"36419010","Priorities for successful use of artificial intelligence by public health organizations: a literature review","Fisher S, Rosella LC.","BMC Public Health. 2022 Nov 22;22(1):2146. doi: 10.1186/s12889-022-14422-z.","Fisher S","BMC Public Health","2022","2022/11/24","PMC9682716","","10.1186/s12889-022-14422-z"
"38192969","Revolutionizing Breast Healthcare: Harnessing the Role of Artificial Intelligence","Singh A, Paruthy SB, Belsariya V, Chandra J N, Singh SK, Manivasagam SS, Choudhary S, Kumar MA, Khera D, Kuraria V.","Cureus. 2023 Dec 8;15(12):e50203. doi: 10.7759/cureus.50203. eCollection 2023 Dec.","Singh A","Cureus","2023","2024/01/09","PMC10772314","","10.7759/cureus.50203"
"34657722","Artificial intelligence and gender bias in hiring surgeons and beyond","Loftus TJ, Cochran A.","Am J Surg. 2021 Dec;222(6):1050. doi: 10.1016/j.amjsurg.2021.10.009. Epub 2021 Oct 13.","Loftus TJ","Am J Surg","2021","2021/10/18","PMC9382900","NIHMS1828773","10.1016/j.amjsurg.2021.10.009"
"37453602","Building Diversity, Equity, and Inclusion Within Radiology Artificial Intelligence: Representation Matters, From Data to the Workforce","Doo FX, McGinty GB.","J Am Coll Radiol. 2023 Sep;20(9):852-856. doi: 10.1016/j.jacr.2023.06.014. Epub 2023 Jul 14.","Doo FX","J Am Coll Radiol","2023","2023/07/15","","","10.1016/j.jacr.2023.06.014"
"35862177","Strategic Guidance and Technological Solutions for Human Resources Management to Sustain an Aging Workforce: Review of International Standards, Research, and Use Cases","Wissemann AK, Pit SW, Serafin P, Gebhardt H.","JMIR Hum Factors. 2022 Jul 21;9(3):e27250. doi: 10.2196/27250.","Wissemann AK","JMIR Hum Factors","2022","2022/07/21","PMC9353677","","10.2196/27250"
"41039915","Getting Started on Artificial Intelligence in Health Care and Clinical Research: Includes Rigor Checklist for Authors and Reviewers","Sen CK, DeMazumder D.","Adv Wound Care (New Rochelle). 2025 Oct 3. doi: 10.1177/21621918251380217. Online ahead of print.","Sen CK","Adv Wound Care (New Rochelle)","2025","2025/10/03","","","10.1177/21621918251380217"
"39531100","Recommendations for Clinicians, Technologists, and Healthcare Organizations on the Use of Generative Artificial Intelligence in Medicine: A Position Statement from the Society of General Internal Medicine","Crowe B, Shah S, Teng D, Ma SP, DeCamp M, Rosenberg EI, Rodriguez JA, Collins BX, Huber K, Karches K, Zucker S, Kim EJ, Rotenstein L, Rodman A, Jones D, Richman IB, Henry TL, Somlo D, Pitts SI, Chen JH, Mishuris RG.","J Gen Intern Med. 2025 Feb;40(3):694-702. doi: 10.1007/s11606-024-09102-0. Epub 2024 Nov 12.","Crowe B","J Gen Intern Med","2025","2024/11/12","PMC11861482","","10.1007/s11606-024-09102-0"
"38074594","Opening Editorial: Selection and Recruitment in Medical Education","Patterson F, Griffin B, Hanson MD.","MedEdPublish (2016). 2018 Oct 1;7:222. doi: 10.15694/mep.2018.0000222.1. eCollection 2018.","Patterson F","MedEdPublish (2016)","2018","2023/12/11","PMC10704444","","10.15694/mep.2018.0000222.1"
"36187287","Collaboration among recruiters and artificial intelligence: removing human prejudices in employment","Chen Z.","Cogn Technol Work. 2023;25(1):135-149. doi: 10.1007/s10111-022-00716-0. Epub 2022 Sep 28.","Chen Z","Cogn Technol Work","2023","2022/10/03","PMC9516509","","10.1007/s10111-022-00716-0"
"40206123","Machine Learning Operations in Health Care: A Scoping Review","Rajagopal A, Ayanian S, Ryu AJ, Qian R, Legler SR, Peeler EA, Issa M, Coons TJ, Kawamoto K.","Mayo Clin Proc Digit Health. 2024 Jul 14;2(3):421-437. doi: 10.1016/j.mcpdig.2024.06.009. eCollection 2024 Sep.","Rajagopal A","Mayo Clin Proc Digit Health","2024","2025/04/10","PMC11975983","","10.1016/j.mcpdig.2024.06.009"
"35978473","Ethical, Legal, and Financial Considerations of Artificial Intelligence in Surgery","Morris MX, Song EY, Rajesh A, Asaad M, Phillips BT.","Am Surg. 2023 Jan;89(1):55-60. doi: 10.1177/00031348221117042. Epub 2022 Aug 17.","Morris MX","Am Surg","2023","2022/08/18","","","10.1177/00031348221117042"
"37035361","Artificial intelligence applied to potential assessment and talent identification in an organisational context","Jacob Fernandes França T, São Mamede H, Pereira Barroso JM, Pereira Duarte Dos Santos VM.","Heliyon. 2023 Mar 23;9(4):e14694. doi: 10.1016/j.heliyon.2023.e14694. eCollection 2023 Apr.","Jacob Fernandes França T","Heliyon","2023","2023/04/10","PMC10073758","","10.1016/j.heliyon.2023.e14694"
"40643081","Transformative potential of artificial intelligence in US CDC HIV interventions: balancing innovation with health privacy","Kamitani E, Koenig LJ, Sullivan P.","AIDS. 2025 Aug 1;39(10):1311-1321. doi: 10.1097/QAD.0000000000004220. Epub 2025 Jul 10.","Kamitani E","AIDS","2025","2025/07/11","PMC12409397","NIHMS2107925","10.1097/QAD.0000000000004220"
"36155458","D-BIAS: A Causality-Based Human-in-the-Loop System for Tackling Algorithmic Bias","Ghai B, Mueller K.","IEEE Trans Vis Comput Graph. 2023 Jan;29(1):473-482. doi: 10.1109/TVCG.2022.3209484. Epub 2022 Dec 16.","Ghai B","IEEE Trans Vis Comput Graph","2023","2022/09/26","","","10.1109/TVCG.2022.3209484"
"40825884","Establishing a policy statement on the use of artificial intelligence in neurosurgery","Mohamed AA, Das N, Still MEH, Sharma A, Lucke-Wold B, M Schirmer C, Pirris S, Adogwa O, Prevedello D, Vessell M; Council of State Neurosurgical Societies.","Neurosurg Rev. 2025 Aug 19;48(1):606. doi: 10.1007/s10143-025-03745-1.","Mohamed AA","Neurosurg Rev","2025","2025/08/18","","","10.1007/s10143-025-03745-1"
"40403202","Artificial Intelligence and Machine Learning Innovations to Improve Design and Representativeness in Oncology Clinical Trials","Azenkot T, Rivera DR, Stewart MD, Patel SP.","Am Soc Clin Oncol Educ Book. 2025 Jun;45(3):e473590. doi: 10.1200/EDBK-25-473590. Epub 2025 May 22.","Azenkot T","Am Soc Clin Oncol Educ Book","2025","2025/05/22","","","10.1200/EDBK-25-473590"
"38201557","Disparities in Breast Cancer Diagnostics: How Radiologists Can Level the Inequalities","Pesapane F, Tantrige P, Rotili A, Nicosia L, Penco S, Bozzini AC, Raimondi S, Corso G, Grasso R, Pravettoni G, Gandini S, Cassano E.","Cancers (Basel). 2023 Dec 27;16(1):130. doi: 10.3390/cancers16010130.","Pesapane F","Cancers (Basel)","2023","2024/01/11","PMC10777939","","10.3390/cancers16010130"
"36117842","Consequences of inequity in the neurosurgical workforce: Lessons from traumatic brain injury","Venkatesh S, Bravo M, Schaaf T, Koller M, Sundeen K, Samadani U.","Front Surg. 2022 Sep 1;9:962867. doi: 10.3389/fsurg.2022.962867. eCollection 2022.","Venkatesh S","Front Surg","2022","2022/09/19","PMC9475291","","10.3389/fsurg.2022.962867"
